season,game_id,game_date,home_team,away_team,home_score,away_score,label,is_playoff,game_type,max_games,elo_diff,win_pct_diff,rpg_diff,rapg_diff,pythagorean_diff,log5_prob,sp_era_diff,sp_whip_diff,sp_k9_diff,sp_bb9_diff,series_game_num,series_deficit,is_elimination_game
2018,563347,2018-10-03,CHC,COL,1,2,0,1,F,3,1.67305961499369,0.022761702772307157,-0.09241024087259486,-0.5741933040448419,0.006828510831692147,0.5100491589472629,0.46999999999999975,0.06000000000000005,-0.31357102912503887,0.05696839623354455,1,0,0
2018,563346,2018-10-04,NYY,OAK,7,2,1,1,F,3,-6.41627116728705,0.009756097560975618,0.20655487804878092,0.0448170731707318,0.0029268292682926855,0.5040322580645161,-0.7399999999999998,-0.32000000000000006,2.0984320557491287,-1.5862369337979096,1,0,0
2018,563383,2018-10-04,MIL,COL,3,2,1,1,D,5,11.898152545317089,0.027474892395982775,-0.1543758967001434,-0.5535868005738882,0.008242467718794833,0.5120797325427364,-0.77,-0.19000000000000017,3.1175872388645143,-0.012551936542987807,1,0,0
2018,563388,2018-10-05,LAD,ATL,6,0,1,1,D,5,19.82991829922753,0.016487730061349737,0.33512269938650263,-0.28430005577244843,0.004946319018404921,0.5074368730543065,-0.8800000000000001,-0.07000000000000006,-0.20568129023694226,-1.7045861817216434,1,0,0
2018,563378,2018-10-05,HOU,CLE,7,2,1,1,D,5,40.15940947082595,0.07659527570625613,-0.07215017817126501,-0.7080562800778809,0.022978582711876836,0.5324311712552496,-0.3700000000000001,-0.08999999999999997,2.903238426429038,0.13281895240165187,1,0,0
2018,563384,2018-10-05,MIL,COL,4,0,1,1,D,5,15.361473199479178,0.027474892395982775,-0.1543758967001434,-0.5535868005738882,0.008242467718794833,0.5120797325427364,-1.0499999999999998,-0.1100000000000001,-1.0991664045297265,0.2995635419943379,2,1,0
2018,563348,2018-10-05,BOS,NYY,5,4,1,1,D,5,35.6328812350107,0.06654448047370654,0.26508529536162406,-0.21887776681235005,0.01996334414211196,0.5258715194036396,-1.54,-0.2699999999999999,3.723264540337711,-0.6467808202911631,1,0,0
2018,563389,2018-10-06,LAD,ATL,3,0,1,1,D,5,23.203854302904574,0.016487730061349737,0.33512269938650263,-0.28430005577244843,0.004946319018404921,0.5074368730543065,-0.10000000000000009,-0.040000000000000036,-0.243549687562993,-1.1480850634952633,2,1,0
2018,563379,2018-10-06,HOU,CLE,3,1,1,1,D,5,43.30735471510093,0.07659527570625613,-0.07215017817126501,-0.7080562800778809,0.022978582711876836,0.5324311712552496,-0.5,-0.09999999999999987,1.5712094425956735,0.8595829866888516,2,1,0
2018,563374,2018-10-07,BOS,NYY,2,6,0,1,D,5,38.83071103498423,0.06654448047370654,0.26508529536162406,-0.21887776681235005,0.01996334414211196,0.5258715194036396,-0.16999999999999993,0.010000000000000009,-0.12194055944056004,0.5375874125874125,2,1,0
2018,563385,2018-10-07,COL,MIL,0,6,0,1,D,5,-18.785692266854085,-0.027474892395982775,0.1543758967001434,0.5535868005738882,-0.008242467718794833,0.48792026745726363,1.2000000000000002,-0.010000000000000009,4.982712093101704,-0.3950497554393655,3,-2,1
2018,563390,2018-10-08,ATL,LAD,6,5,1,1,D,5,-26.53995669464507,-0.016487730061349737,-0.33512269938650263,0.28430005577244843,-0.004946319018404921,0.4925631269456935,1.2799999999999998,0.3700000000000001,-1.1151432630831142,2.0203646696661144,3,-2,1
2018,563380,2018-10-08,CLE,HOU,3,11,0,1,D,5,-46.420769965978934,-0.07659527570625613,0.07215017817126501,0.7080562800778809,-0.022978582711876836,0.4675688287447504,-0.7200000000000002,-0.15000000000000013,2.5869869706840385,0.4645114006514657,3,-2,1
2018,563391,2018-10-08,ATL,LAD,2,6,0,1,D,5,-22.637337297087242,-0.016487730061349737,-0.33512269938650263,0.28430005577244843,-0.004946319018404921,0.4925631269456935,-0.81,-0.040000000000000036,-0.24145316747672751,0.5628552599060876,4,-1,1
